t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1
0.1,3786533418330099.0,3803207891884101.0,16674473553999.465,0.0,0.0,0.0,0.0
0.202,4724578692761495.0,6168183235733829.0,20804358702940.15,1305098964893.3987,9369201200041.986,265232288728193.53,1146893595376258.5
0.30604000000000003,4955955414408954.0,8389743917097811.0,21823229524037.44,2765595026865.3354,19891003992388.266,607945600927616.0,2781363073217947.5
0.41216080000000005,4982314258254307.0,1.060114296865695e+16,21939294544522.535,4212385555820.447,30316472782377.3,960768439325389.9,4601592118194528.0
0.5204040160000001,4958004596362945.0,1.2840492830361146e+16,21832240668573.1,5645406379483.447,40641350495529.1,1310360357451285.8,6504008879003333.0
0.6308120963200001,4925818343816197.0,1.5121431792428934e+16,21690504126294.227,7081759952693.745,50989350539679.1,1658207450290806.2,8457644383703253.0
0.7434283382464002,4896221717531706.0,1.744938851069967e+16,21560172566465.527,8532628897731.435,61441563397895.65,2007579242929311.5,1.045405318537656e+16
0.8582969050113283,4871117177042410.0,1.982675185704945e+16,21449622878529.613,10004342098223.475,72043790469707.03,2360824570076435.5,1.2491312354484152e+16
0.9754628431115548,4850276051336598.0,2.2254767219040956e+16,21357847710801.832,11500682050186.41,82823349880880.05,2719368310513303.0,1.4569440977549198e+16
1.094972099973786,4833030660360174.0,2.4734271993168956e+16,21281906707250.223,13024120165607.896,93798075263844.0,3084073200198191.5,1.66890640304739e+16
1.2168715419732616,4818707076898904.0,2.7265986903103936e+16,21218832102550.625,14576392101757.768,104980488068663.8,3455491197214860.0,1.88510129167172e+16
1.3412089728127268,4806731693442206.0,2.985063029781073e+16,21166097943019.62,16158806901000.338,116380031710511.0,3834006117075771.5,2.105618755073822e+16
1.4680331522689813,4796642734254966.0,3.2488960508630588e+16,21121670755300.176,17772421295426.242,128004329161933.98,4219909661271439.5,2.330550969189152e+16
1.597393815314361,4788075920812996.0,3.5181788919067056e+16,21083946411253.953,19418142041651.73,139859920934014.3,4613442026630766.0,2.5599908962236384e+16
1.729341691620648,4780745510313578.0,3.7929981423305224e+16,21051666624238.18,21096787392668.688,151952708397339.66,5014814116397915.0,2.7940320634179484e+16
1.863928525453061,4774427076530082.0,4.073445566805981e+16,21023843120874.69,22809124676534.0,164288224860295.4,5424220088926851.0,3.032768730994513e+16
2.001207095962122,4768943508112825.0,4.359617714470014e+16,20999695982452.12,24555893655356.74,176871804131625.66,5841844706883698.0,3.276296153593422e+16
2.1412312378813647,4764154117626651.0,4.651615535117706e+16,20978605685326.43,26337821294079.7,189708687138744.66,6267867802086397.0,3.524710831734586e+16
2.284055862638992,4759946326906488.0,4.949544045373171e+16,20960076486622.883,28155631262934.668,202804090558848.6,6702467086018200.0,3.778110724249858e+16
2.4297369798917723,4756229360453671.0,5.253512054767373e+16,20943708652625.72,30010050163609.336,216163251808882.1,7145819978645188.0,4.0365954197949784e+16
2.578331719489608,4752929462663223.0,5.563631948619603e+16,20929177397524.688,31901811687968.44,229791459111111.56,7598104835313122.0,4.300266274002303e+16
2.7298983538794,4749986258604656.0,5.880019520268939e+16,20916216857902.492,33831659454667.82,243694072010477.38,8059501793454097.0,4.569226520230759e+16
2.884496320956988,4747349970334324.0,6.202793844491715e+16,20904607834620.312,35800348990103.23,257876535709411.6,8530193372922315.0,4.843581360912641e+16
3.0421862473761276,4744979274144279.0,6.53207718463461e+16,20894168357109.92,37808649149848.81,272344391357895.94,9010364913267604.0,5.123438045006935e+16
3.2030299723236504,4742839639870291.0,6.8679949271166344e+16,20884746370441.55,39857343171214.17,287103283675393.75,9500204901266568.0,5.408905935681248e+16
3.3670905717701234,4740902034723582.0,7.210675538100382e+16,20876214027591.64,41947229481203.0,302158966802556.3,9999905223658528.0,5.7000965712310344e+16
3.5344323832055258,4739141904481547.0,7.560250538152352e+16,20868463203074.13,44079122341858.52,317517308975299.6,1.0509661368452658e+16,5.997123721406903e+16
3.7051210308696363,4737538367114694.0,7.916854491564782e+16,20861401942045.066,46253852387661.52,333184296416563.25,1.1029672590689632e+16,6.3001034407097224e+16
3.879223451487029,4736073570229163.0,8.28062500770158e+16,20854951630775.652,48472267091782.66,349166036712018.25,1.156014205360258e+16,6.6091541197749464e+16
4.0568079205167695,4734732175690514.0,8.651702752280814e+16,20849044727173.492,50735231186181.95,365468761850638.44,1.210127695280565e+16,6.924396535654802e+16
4.237944078927105,4733500943649015.0,9.030231466940754e+16,20843622929022.387,53043627052654.086,382098831053986.9,1.2653288628877946e+16,7.245953901584501e+16
4.422702960505647,4732368394762470.0,9.416357995777974e+16,20838635686568.14,55398355096598.67,399062733479571.5,1.321639267215142e+16,7.573951916660312e+16
4.61115701971576,4731324534326520.0,9.810232317814755e+16,20834038987715.914,57800334111671.96,416367090857424.56,1.3790809022422992e+16,7.908518815744122e+16
4.803380160110075,4730360625715722.0,1.0212007584564581e+17,20829794360369.785,60250501640993.516,434018660101068.44,1.437676206554693e+16,8.24978541982807e+16
4.9994477633122765,4729469003333706.0,1.0621840162031138e+17,20825868048751.97,62749814338869.1,452024335921641.94,1.4974480728321244e+16,8.597885187034714e+16
5.199436718578522,4728642917398250.0,1.1039889676608366e+17,20822230329908.027,65299248335799.945,470391153465313.25,1.558419857269465e+16,8.952954264385966e+16
5.403425452950093,4727876404517151.0,1.1466319064454062e+17,20818854943782.836,67899799608721.125,489126290988120.3,1.620615389004413e+16,9.315131540443878e+16
5.611493962009095,4727164179267090.0,1.1901294623993186e+17,20815718615784.31,70552484357831.06,508237072578158.7,1.6840589796073086e+16,9.684558698903989e+16
5.823723841249277,4726501542962241.0,1.2344986071273944e+17,20812800655042.37,73258339390971.19,527730970932108.0,1.748775432673662e+16,1.0061380273206251e+17
6.040198318074262,4725884306558902.0,1.2797566597954163e+17,20810082614916.715,76018422516231.38,547615610191039.6,1.8147900535496252e+16,1.0445743702216427e+17
6.261002284435747,4725308725238656.0,1.3259212931738515e+17,20807548004931.164,78833812943260.58,567898768839018.0,1.8821286592131656e+16,1.0837799387022765e+17
6.486222330124463,4724771442682374.0,1.3730105399123259e+17,20805182045382.098,81705611693630.39,588588382667035.1,1.950817588328215e+16,1.1237700748886213e+17
6.715946776726952,4724269443419944.0,1.421042799033382e+17,20802971457508.812,84634942020504.5,609692547804164.5,2.0208837114853332e+16,1.1645604288378272e+17
6.950265712261491,4723800011937420.0,1.47003684263642e+17,20800904283419.918,87622949837811.53,631219523817359.2,2.092354441639432e+16,1.2061669645737178e+17
7.18927102650672,4723360697460703.0,1.5200118228047424e+17,20798969731017.305,90670804159076.69,653177736881081.0,2.165257744753369e+16,1.2486059662470874e+17
7.433056447036854,4722949283526114.0,1.570987278710147e+17,20797158039998.707,93779697546048.95,675575783017741.0,2.2396221506546404e+16,1.2918940444233842e+17
7.681717575977592,4722563761602335.0,1.6229831439109843e+17,20795460365700.832,96950846567246.8,698422431409882.0,2.3154767641116132e+16,1.3360481425003706e+17
7.935351927497144,4722202308153501.0,1.676019753840614e+17,20793868678095.91,100185492266541.33,721726627784974.6,2.3928512761349484e+16,1.3810855432582877e+17
8.194058966047088,4721863264635089.0,1.730117853484245e+17,20792375673702.72,103484900641899.55,745497497873734.9,2.4717759755096172e+16,1.4270238755450397e+17
8.45794014536803,4721545119997775.0,1.7852986052428682e+17,20790974698541.56,106850363134410.05,769744350942872.8,2.5522817605624496e+16,1.473881121098886e+17
8.72709894827539,4721246495342733.0,1.841583596983727e+17,20789659680563.21,110283197127726.33,794476683403251.4,2.634400151170249e+16,1.5216756215111584e+17
9.0016409272409,4720966130428286.0,1.898994850277354e+17,20788425070230.504,113784746458065.38,819704182494481.4,2.7181633010132164e+16,1.5704260853315216e+17
9.281673745785717,4720702871774555.0,1.9575548288216624e+17,20787265788136.637,117356381934909.88,845436730047040.5,2.803604010078605e+16,1.620151595318355e+17
9.567307220701432,4720455662151280.0,2.0172864470540816e+17,20786177178714.22,120999501872573.28,871684406323079.6,2.8907557374194484e+16,1.670871615836879e+17
9.85865336511546,4720223531266370.0,2.0782130789530426e+17,20785154969231.98,124715532632792.94,898457493937124.0,2.979652614173324e+16,1.722606000407654e+17
10.155826432417769,4720005587499466.0,2.140358567030518e+17,20784195233393.254,128505929178525.25,925766481857964.8,3.0703294568461864e+16,1.7753749994082058e+17
10.458942961066125,4719801010547536.0,2.2037472315175472e+17,20783294358950.4,132372175639129.31,953622069493070.1,3.1628217808663584e+16,1.8291992679305238e+17
10.768121820287448,4719609044868405.0,2.268403879745005e+17,20782449018833.18,136315785887128.95,982035170856945.1,3.2571658144139428e+16,1.8840998737972976e+17
11.083484256693197,4719428993823950.0,2.3343538157220675e+17,20781656145357.99,140338304126752.38,1011016918824870.5,3.3533985125309604e+16,1.940098305739763e+17
11.405153941827061,4719260214438504.0,2.4016228499150605e+17,20780912907146.293,144441305494458.66,1040578669473564.4,3.451557571517669e+16,1.9972164817401578e+17
11.733257020663602,4719102112699167.0,2.4702373092295533e+17,20780216688429.47,148626396671664.28,1070732006510316.2,3.551681443620585e+16,2.0554767575417997e+17
