t(s),Total solute volume 1,Total retention volume 1
0.1,3749719969724703.0,3766231474968908.0
0.20500000000000002,5532081822747568.0,5782543066414006.0
0.31525000000000003,6762218230348032.0,7415736198982600.0
0.4310125,7695446077847844.0,8885350414586786.0
0.552563125,8436923769827342.0,1.0273473978170516e+16
0.6801912812500001,9043835089089506.0,1.1621722441462778e+16
0.8142008453125001,9551539730871120.0,1.2955111360666742e+16
0.9549108875781251,9983297137982964.0,1.429050166810619e+16
1.1026564319570316,1.0354955829420938e+16,1.5640269754604672e+16
1.2577892535548831,1.0677647108862646e+16,1.7014131955350202e+16
1.4206787162326273,1.0959462802249744e+16,1.8420143368229212e+16
1.5917126520442588,1.1206515643068676e+16,1.986528637349142e+16
1.771298284646472,1.1423601983931632e+16,2.1355838300692572e+16
1.9598631988787958,1.1614612332684982e+16,2.2897612480264188e+16
2.1578563588227357,1.1782787409004982e+16,2.4496122926823744e+16
2.3657491767638725,1.193088170972148e+16,2.615670102683707e+16
2.5840366356020663,1.2061271715960552e+16,2.7884581045618624e+16
2.8132384673821695,1.2176030277432976e+16,2.9684964839054864e+16
3.053900390751278,1.2276979641643526e+16,3.156307241512802e+16
3.306595410288842,1.2365730519555016e+16,3.3524182727502236e+16
3.5719251808032846,1.244371173976915e+16,3.557366766644372e+16
3.850521439843449,1.2512193409836462e+16,3.771702129768224e+16
4.143047511835621,1.2572305520329262e+16,3.995988579350741e+16
4.450199887427402,1.262505330572065e+16,4.2308075089089736e+16
4.7727098817987725,1.2671330265264798e+16,4.476759701247649e+16
5.111345375888711,1.2711929466282942e+16,4.7344674436687e+16
5.4669126446831475,1.2747555450421444e+16,5.0045765764535064e+16
5.8402582769173055,1.2778825438071208e+16,5.287758548446795e+16
6.232271190763171,1.280628933747776e+16,5.584712428904075e+16
6.64388475030133,1.2830429767735078e+16,5.896166948299383e+16
7.076078987816397,1.285167030409226e+16,6.222882568681557e+16
7.529882937207217,1.2870382032100066e+16,6.5656535940011224e+16
