"retention","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.6115e+25,1,0,0,0,0
6.5674e+25,1,2e-06,2e-06,0,0
6.5186e+25,1,4e-06,4e-06,0,0
6.464e+25,1,6e-06,6e-06,0,0
6.4025e+25,1,8e-06,8e-06,0,0
6.3323e+25,1,1e-05,1e-05,0,0
6.2514e+25,1,1.2e-05,1.2e-05,0,0
6.1566e+25,1,1.4e-05,1.4e-05,0,0
6.044e+25,1,1.6e-05,1.6e-05,0,0
5.9076e+25,1,1.8e-05,1.8e-05,0,0
5.7387e+25,1,2e-05,2e-05,0,0
5.5246e+25,1,2.2e-05,2.2e-05,0,0
5.2445e+25,1,2.4e-05,2.4e-05,0,0
4.863e+25,1,2.6e-05,2.6e-05,0,0
4.3061e+25,1,2.8e-05,2.8e-05,0,0
3.2993e+25,1,3e-05,3e-05,0,0
8.6913e+24,1,3.2e-05,3.2e-05,0,0
2.5705e+23,1,3.4e-05,3.4e-05,0,0
5.3409e+21,1,3.6e-05,3.6e-05,0,0
1.0541e+20,1,3.8e-05,3.8e-05,0,0
2.0692e+18,1,4e-05,4e-05,0,0
3.9504e+16,1,4.2e-05,4.2e-05,0,0
1.6356e+15,1,4.4e-05,4.4e-05,0,0
4.6602e+14,1,4.6e-05,4.6e-05,0,0
2.1752e+14,1,4.8e-05,4.8e-05,0,0
1.04e+14,1,5e-05,5e-05,0,0
4.9724e+13,1,5.2e-05,5.2e-05,0,0
2.3807e+13,1,5.4e-05,5.4e-05,0,0
1.1383e+13,1,5.6e-05,5.6e-05,0,0
5.4489e+12,1,5.8e-05,5.8e-05,0,0
2.6065e+12,1,6e-05,6e-05,0,0
1.247e+12,1,6.2e-05,6.2e-05,0,0
5.9677e+11,1,6.4e-05,6.4e-05,0,0
2.8531e+11,1,6.6e-05,6.6e-05,0,0
1.3661e+11,1,6.8e-05,6.8e-05,0,0
6.5321e+10,1,7e-05,7e-05,0,0
3.1266e+10,1,7.2e-05,7.2e-05,0,0
1.4957e+10,1,7.4e-05,7.4e-05,0,0
7.1549e+09,1,7.6e-05,7.6e-05,0,0
3.4244e+09,1,7.8e-05,7.8e-05,0,0
1.637e+09,1,8e-05,8e-05,0,0
7.8388e+08,1,8.2e-05,8.2e-05,0,0
3.7485e+08,1,8.4e-05,8.4e-05,0,0
1.7941e+08,1,8.6e-05,8.6e-05,0,0
8.5832e+07,1,8.8e-05,8.8e-05,0,0
4.1054e+07,1,9e-05,9e-05,0,0
1.965e+07,1,9.2e-05,9.2e-05,0,0
9.3931e+06,1,9.4e-05,9.4e-05,0,0
4.498e+06,1,9.6e-05,9.6e-05,0,0
2.1511e+06,1,9.8e-05,9.8e-05,0,0
1.0294e+06,1,0.0001,0.0001,0,0
4.9253e+05,1,0.000102,0.000102,0,0
2.3555e+05,1,0.000104,0.000104,0,0
1.1274e+05,1,0.000106,0.000106,0,0
53859,1,0.000108,0.000108,0,0
25716,1,0.00011,0.00011,0,0
12147,1,0.000112,0.000112,0,0
5494.1,1,0.000114,0.000114,0,0
1963.3,1,0.000116,0.000116,0,0
1308.5,1,0.000118,0.000118,0,0
1133.6,1,0.00012,0.00012,0,0
958.69,1,0.000122,0.000122,0,0
783.8,1,0.000124,0.000124,0,0
608.92,1,0.000126,0.000126,0,0
434.03,1,0.000128,0.000128,0,0
259.15,1,0.00013,0.00013,0,0
84.267,1,0.000132,0.000132,0,0
-90.617,1,0.000134,0.000134,0,0
-265.5,1,0.000136,0.000136,0,0
-295.56,1,0.000138,0.000138,0,0
-256.71,1,0.00014,0.00014,0,0
-217.87,1,0.000142,0.000142,0,0
-179.03,1,0.000144,0.000144,0,0
-140.18,1,0.000146,0.000146,0,0
-101.34,1,0.000148,0.000148,0,0
-62.492,1,0.00015,0.00015,0,0
-23.647,1,0.000152,0.000152,0,0
15.197,1,0.000154,0.000154,0,0
54.041,1,0.000156,0.000156,0,0
66.743,1,0.000158,0.000158,0,0
58.115,1,0.00016,0.00016,0,0
49.487,1,0.000162,0.000162,0,0
40.859,1,0.000164,0.000164,0,0
32.231,1,0.000166,0.000166,0,0
23.604,1,0.000168,0.000168,0,0
14.976,1,0.00017,0.00017,0,0
6.3476,1,0.000172,0.000172,0,0
-2.2803,1,0.000174,0.000174,0,0
-10.908,1,0.000176,0.000176,0,0
-15.068,1,0.000178,0.000178,0,0
-13.152,1,0.00018,0.00018,0,0
-11.235,1,0.000182,0.000182,0,0
-9.3188,1,0.000184,0.000184,0,0
-7.4024,1,0.000186,0.000186,0,0
-5.486,1,0.000188,0.000188,0,0
-3.5696,1,0.00019,0.00019,0,0
-1.6532,1,0.000192,0.000192,0,0
0.26325,1,0.000194,0.000194,0,0
2.1797,1,0.000196,0.000196,0,0
3.4009,1,0.000198,0.000198,0,0
2.9752,1,0.0002,0.0002,0,0
2.5495,1,0.000202,0.000202,0,0
2.1239,1,0.000204,0.000204,0,0
1.6982,1,0.000206,0.000206,0,0
1.2725,1,0.000208,0.000208,0,0
0.84688,1,0.00021,0.00021,0,0
0.42122,1,0.000212,0.000212,0,0
-0.0044432,1,0.000214,0.000214,0,0
-0.43011,1,0.000216,0.000216,0,0
-0.76739,1,0.000218,0.000218,0,0
-0.67284,1,0.00022,0.00022,0,0
-0.57829,1,0.000222,0.000222,0,0
-0.48375,1,0.000224,0.000224,0,0
