"retention","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.435e+22,1,0,0,0,0
6.4333e+22,1,2e-06,2e-06,0,0
6.4316e+22,1,4e-06,4e-06,0,0
6.4299e+22,1,6e-06,6e-06,0,0
6.4282e+22,1,8e-06,8e-06,0,0
6.4265e+22,1,1e-05,1e-05,0,0
6.4248e+22,1,1.2e-05,1.2e-05,0,0
6.4231e+22,1,1.4e-05,1.4e-05,0,0
6.4214e+22,1,1.6e-05,1.6e-05,0,0
6.4197e+22,1,1.8e-05,1.8e-05,0,0
6.418e+22,1,2e-05,2e-05,0,0
6.4163e+22,1,2.2e-05,2.2e-05,0,0
6.4146e+22,1,2.4e-05,2.4e-05,0,0
6.4129e+22,1,2.6e-05,2.6e-05,0,0
6.4112e+22,1,2.8e-05,2.8e-05,0,0
6.4094e+22,1,3e-05,3e-05,0,0
6.4077e+22,1,3.2e-05,3.2e-05,0,0
6.406e+22,1,3.4e-05,3.4e-05,0,0
6.4043e+22,1,3.6e-05,3.6e-05,0,0
6.4025e+22,1,3.8e-05,3.8e-05,0,0
6.4008e+22,1,4e-05,4e-05,0,0
6.3991e+22,1,4.2e-05,4.2e-05,0,0
6.3974e+22,1,4.4e-05,4.4e-05,0,0
6.3956e+22,1,4.6e-05,4.6e-05,0,0
6.3939e+22,1,4.8e-05,4.8e-05,0,0
6.3922e+22,1,5e-05,5e-05,0,0
6.3904e+22,1,5.2e-05,5.2e-05,0,0
6.3887e+22,1,5.4e-05,5.4e-05,0,0
6.3869e+22,1,5.6e-05,5.6e-05,0,0
6.3852e+22,1,5.8e-05,5.8e-05,0,0
6.3834e+22,1,6e-05,6e-05,0,0
6.3817e+22,1,6.2e-05,6.2e-05,0,0
6.3799e+22,1,6.4e-05,6.4e-05,0,0
6.3782e+22,1,6.6e-05,6.6e-05,0,0
6.3764e+22,1,6.8e-05,6.8e-05,0,0
6.3746e+22,1,7e-05,7e-05,0,0
6.3729e+22,1,7.2e-05,7.2e-05,0,0
6.3711e+22,1,7.4e-05,7.4e-05,0,0
6.3693e+22,1,7.6e-05,7.6e-05,0,0
6.3676e+22,1,7.8e-05,7.8e-05,0,0
6.3658e+22,1,8e-05,8e-05,0,0
6.364e+22,1,8.2e-05,8.2e-05,0,0
6.3622e+22,1,8.4e-05,8.4e-05,0,0
6.3605e+22,1,8.6e-05,8.6e-05,0,0
6.3587e+22,1,8.8e-05,8.8e-05,0,0
6.3569e+22,1,9e-05,9e-05,0,0
6.3551e+22,1,9.2e-05,9.2e-05,0,0
6.3533e+22,1,9.4e-05,9.4e-05,0,0
6.3515e+22,1,9.6e-05,9.6e-05,0,0
6.3497e+22,1,9.8e-05,9.8e-05,0,0
6.3479e+22,1,0.0001,0.0001,0,0
6.3461e+22,1,0.000102,0.000102,0,0
6.3443e+22,1,0.000104,0.000104,0,0
6.3425e+22,1,0.000106,0.000106,0,0
6.3407e+22,1,0.000108,0.000108,0,0
6.3389e+22,1,0.00011,0.00011,0,0
6.3371e+22,1,0.000112,0.000112,0,0
6.3353e+22,1,0.000114,0.000114,0,0
6.3334e+22,1,0.000116,0.000116,0,0
6.3316e+22,1,0.000118,0.000118,0,0
