t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1,Total 6 volume 1
0.1,1117071271046687.6,1512117690109863.2,171218609237430.47,223827809825744.56,0.0,0.0,0.0,0.0
0.202,1681853260780710.2,2277099713761984.5,257785322736657.3,336993307388609.6,312141242.42272913,770632267.4745035,16275328948.978062,450464753546.3932
0.30604000000000003,2112089796853883.2,2860206364174387.5,323729639780240.94,423199897789650.5,791809152.3832815,1954865847.908017,41286830210.76463,1142996245402.0203
0.41216080000000005,2475916141878840.0,3353619355970936.0,379494963735292.4,496099863008055.7,1406256216.0086505,3471850931.6665297,73326423716.27705,2030182817882.608
0.5204040160000001,2798917088715180.0,3791949556102270.5,429002792610766.9,560819634036588.4,2140920160.5160584,5285635198.827684,111634705093.78603,3090979479283.27
0.6308120963200001,3093847071806853.5,4192450192077359.0,474208056785097.25,619914819813128.5,2987972001.102675,7376889956.823018,155803415923.3675,4314075394400.725
0.7434283382464002,3368120750188971.5,4565151338395962.0,516247234884800.0,674871097235507.0,3942919025.678759,9734523329.889944,205598277135.28946,5692980367195.019
0.8582969050113283,3626488443275035.0,4916479410764891.0,555848430042734.06,726640288865075.1,5003208652.896218,12352233366.175611,260886181043.52637,7224006958991.907
0.9754628431115548,3872205326762914.5,5250838809635569.0,593510577891398.9,775874634980204.0,6167540392.898234,15226809360.13489,321599311649.44073,8905276339654.312
1.094972099973786,4107615151996937.0,5571401497075552.0,629592915893587.9,823043753557589.6,7435484721.668506,18357190904.429382,387715270122.26556,10736167681699.371
1.2168715419732616,4334470754817355.0,5880540508237067.0,664364109196391.9,868498860702686.2,8807253996.552717,21743902311.31453,459245128871.4129,12716987235455.852
1.3412089728127268,4554123114109260.0,6180085650138252.0,698031228497732.5,912510652353516.1,10283556239.145388,25388691622.474022,536225806901.7287,14848757122975.596
1.4680331522689813,4767639299914075.0,6471483014989303.0,730757828491609.5,955292937570100.1,11865497456.840654,29294289454.296974,618714976291.8436,17133074250318.652
1.597393815314361,4975879451841767.0,6755899080226512.0,762675746700618.0,997018062716085.0,13554514047.086014,33464242113.29376,706787537371.7347,19572012674514.1
1.729341691620648,5179548917694588.0,7034291213568751.0,793893095000687.9,1037827358486324.9,15352324716.036285,37902792889.93261,800533111498.0117,22168054158043.375
1.863928525453061,5379234682549684.0,7307456932654538.0,824499843272821.4,1077838439210291.8,17260895542.959965,42614795807.562065,900054219325.157,24924037711065.582
2.001207095962122,5575431503253665.0,7576069243177007.0,854571825156310.2,1117150439426501.0,19282414187.03486,47605651942.65773,1005464935812.8363,27843122338590.664
2.1412312378813647,5768561088999217.0,7840702573686115.0,884173677943233.8,1155847857098933.2,21419270629.03174,52881261878.8267,1116889885998.719,30928759226224.855
2.284055862638992,5958986459804162.0,8101852190159782.0,913361043368065.0,1194003430628638.8,23674042697.333767,58447989972.692444,1234463490252.7656,34184670835986.28
2.4297369798917723,6147022883749885.0,8359948984797108.0,942182244008085.9,1231680330350619.2,26049485171.948128,64312637453.36291,1358329396107.4897,37614835169784.05
2.578331719489608,6332946337432828.0,8615370916213062.0,970679580055431.6,1268933853756375.2,28548521616.073475,70482422255.8711,1488640052317.6018,41223473972234.15
2.7298983538794,6517000140973076.0,8868451981805275.0,998890346295083.9,1305812754952026.2,31174238323.600876,76964964078.57649,1625556393255.7502,45015043989434.055
2.884496320956988,6699400225930841.0,9119489342066154.0,1026847639542501.0,1342360300191924.8,33929879934.86409,83768273559.25394,1769247610299.6772,48994230637100.35
3.0421862473761276,6880339364552968.0,9368749040907486.0,1054581006879506.0,1378615115293674.8,36818846387.78493,90900744748.10284,1919890992853.9712,53165943597333.32
3.2030299723236504,7059990599535405.0,9616470645394216.0,1082116971349642.2,1414611872860440.0,39844690953.47098,98371150258.13068,2077671825920.988,57535313981578.79
3.3670905717701234,7238510051086324.0,9862871043903794.0,1109479462209539.6,1450381854732765.2,43011119164.71404,106188638619.99875,2242783334232.4033,62107692783135.41
3.5344323832055258,7416039233718339.0,1.0108147581750206e+16,1136690170034228.8,1485953416204758.2,46321988489.54582,114362733476.32248,2415426665232.0854,66888650405684.96
3.7051210308696363,7592706983196270.0,1.0352480670041774e+16,1163768842069215.2,1521352372127036.2,49781308634.610214,122903334330.91818,2595810904901.074,71883977101413.33
3.879223451487029,7768631070660613.0,1.0596035971894748e+16,1190733529634557.5,1556602320329011.5,53393242387.739845,131820718629.28203,2784153121699.7314,77099684187851.72
4.0568079205167695,7943919563611820.0,1.0838966246687088e+16,1217600796729122.5,1591724914319595.8,57162106927.93484,141125544993.03625,2980678434882.836,82542005939748.64
4.237944078927105,8118671980452091.0,1.1081412915478032e+16,1244385896992492.2,1626740094622992.8,61092375545.46915,150828857466.94235,3185620104201.199,88217402073250.02
4.422702960505647,8292980275446022.0,1.1323507397420894e+16,1271102924674352.2,1661666286135508.5,65188679726.177216,160942090665.0322,3399219638593.7393,94132560756030.39
4.61115701971576,8466929683438470.0,1.1565372256827646e+16,1297764944108272.2,1696520567381806.2,69455811562.88057,171477075724.43063,3621726921938.7354,100294402089889.69
4.803380160110075,8640599447860452.0,1.1807122192692926e+16,1324384101296496.8,1731318816385672.0,73898726463.9943,182446046992.8823,3853400354301.8774,106710082022539.69
4.9994477633122765,8814063451033458.0,1.2048864896373604e+16,1350971720519539.8,1766075836964179.5,78522546135.00754,193861649389.99228,4094507007413.802,113386996653484.25
5.199436718578522,8987390762231945.0,1.2290701798322322e+16,1377538388340241.5,1800805468543101.5,83332561813.10059,205736946393.43964,4345322793347.785,120332786905486.31
5.403425452950093,9160646116158384.0,1.2532728720979674e+16,1404094026941811.8,1835520682029088.0,88334237738.85866,218085428610.57364,4606132645561.509,127555343538463.22
5.611493962009095,9333890332249084.0,1.277503645190831e+16,1430647958396763.5,1870233663826024.0,93533214852.08629,230921022903.30145,4877230711624.809,135062812487035.02
5.823723841249277,9507180683436198.0,1.3017711248829304e+16,1457208961188727.2,1904955889723981.2,98935314701.20267,244258102040.30872,5158920557085.368,142863600506547.12
6.040198318074262,9680571221545636.0,1.3260835286266444e+16,1483785320087684.8,1939698190099290.8,104546543557.78546,258111494855.7722,5451515380032.314,150966381115374.84
6.261002284435747,9854113065336212.0,1.3504487051917674e+16,1510384870299044.0,1974470807628955.0,110373096729.53458,272496496897.9811,5755338236006.999,159380100823809.12
6.486222330124463,1.0027854656227214e+16,1.3748741699577722e+16,1537015036660160.2,2009283448530862.5,116421363066.38403,287428881554.8374,6070722272986.267,168113985641902.88
6.715946776726952,1.0201841985975076e+16,1.3993671364373858e+16,1563682868537401.8,2044145328183449.5,122697929655.7023,302924911646.21014,6398010976226.272,177177547860420.7
6.950265712261491,1.037611879991188e+16,1.4239345445199404e+16,1590395070977415.2,2079065211848587.2,129209586703.55917,319001351475.6988,6737558422809.311,186580593100525.1
7.18927102650672,1.055072677882007e+16,1.4485830858504664e+16,1617158032583911.5,2114051451113890.0,135963332599.90923,335675479336.485,7089729545782.222,196333227629102.72
7.433056447036854,1.0725705702071286e+16,1.4733192267000022e+16,1643977850522687.8,2149112016580868.5,142966379166.31174,352965100467.88074,7454900407813.208,206445865937735.47
7.681717575977592,1.0901093594282268e+16,1.4981492286319042e+16,1670860353000251.5,2184254527250407.8,150226157085.44373,370888560460.7194,7833458484329.744,216929238584243.53
7.935351927497144,1.1076926857427418e+16,1.5230791672268284e+16,1697811119513317.2,2219486276994199.0,157750321512.2378,389464759111.19745,8225802956127.735,227794400296564.1
8.194058966047088,1.1253240390082408e+16,1.54811494909293e+16,1724835499125810.0,2254814258447586.0,165546757866.9618,408713164723.943,8632345011469.144,239052738339423.03
