t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1
0.1,3786533418330099.0,3803207891884101.0,16674473553999.465,0.0,0.0,0.0,0.0
0.202,760160509616389.8,6.425296062677264e+16,3347463067138.973,97351135737027.4,694802396649422.1,1.3949967225987366e+16,4.874733189571528e+16
0.30604000000000003,759387931407506.2,1.3430972736611974e+17,3343853896092.776,196372818581867.06,1405346819602748.0,2.9832692923564052e+16,1.0211258301906757e+17
0.41216080000000005,762959257468557.8,2.0707627313566147e+17,3359580342536.3867,298776684661155.0,2140818974955790.8,4.6785234818002424e+16,1.5708512382023104e+17
0.5204040160000001,765110567406772.4,2.814645654436253e+17,3369053969407.395,403318009682794.9,2892225715895793.0,6.4392605921824184e+16,2.1300793617484627e+17
0.6308120963200001,766491750126257.5,3.5732418152047994e+17,3375136210688.033,509902372708935.4,3658863883653927.5,8.249651796209541e+16,2.6988903041568506e+17
0.7434283382464002,767441523918646.5,4.3465598436512877e+17,3379318672267.1914,618529514992550.0,4440755650304210.5,1.0102787087927728e+17,3.277980074779639e+17
0.8582969050113283,768130258714766.4,5.1348471652851744e+17,3382351608475.493,729222280840447.4,5238095858286166.0,1.1995729943604261e+17,3.8678858634302464e+17
0.9754628431115548,768650490580170.6,5.938388745423857e+17,3384642517334.503,842011607480235.4,6051140407557122.0,1.3927459323886768e+17,4.4689909415538323e+17
1.094972099973786,769056299291596.9,6.757477039059058e+17,3386429547677.667,956932091087490.2,6880173569387278.0,1.589788828428826e+17,5.081592726737089e+17
1.2168715419732616,769381199245097.6,7.592408323615057e+17,3387860285211.1157,1074020277126524.5,7725495465271952.0,1.79073840010698e+17,5.705947075488785e+17
1.3412089728127268,769646953895060.2,8.44348274835086e+17,3389030568482.684,1193313906070788.2,8587416585843073.0,1.9956534607954378e+17,6.342291622791644e+17
1.4680331522689813,769868248766170.5,9.311004735899178e+17,3390005067284.221,1314851567492130.5,9466255314478138.0,2.204603761942433e+17,6.990857322598702e+17
1.597393815314361,770055319873271.9,1.0195283312897505e+18,3390828857325.5225,1438672542562087.2,1.0362336838148694e+16,2.4176647524853133e+17,7.651874005117782e+17
1.729341691620648,770215503944920.2,1.1096632356707885e+18,3391534246886.914,1564816734734903.0,1.1275992709161158e+16,2.6349151740305686e+17,8.325573017856435e+17
1.863928525453061,770354189218015.0,1.2015370784847045e+18,3392144963788.2603,1693324641253471.2,1.2207560709874168e+16,2.85643599228523e+17,9.012188475708719e+17
2.001207095962122,770475418377734.4,1.295182270763307e+18,3392678810524.64,1824237343101075.8,1.3157384855977508e+16,3.082309946293153e+17,9.711957858377242e+17
2.1412312378813647,770582282253663.8,1.3906317557000704e+18,3393149397964.505,1957596502965928.2,1.4125815461686678e+16,3.312621376954931e+17,1.042512230608273e+18
2.284055862638992,770677183678409.0,1.4879190199523448e+18,3393567307288.7393,2093444366448504.0,1.5113209231845032e+16,3.547456178251074e+17,1.115192677777958e+18
2.4297369798917723,770762018528606.8,1.5870781038710625e+18,3393940887230.1694,2231823764384389.5,1.6119929365368158e+16,3.7869018002908256e+17,1.1892620147528118e+18
2.578331719489608,770838302609361.9,1.6881436109843558e+18,3394276812826.6616,2372778115363242.0,1.714634566335972e+16,4.031047272955589e+17,1.2647455273306514e+18
2.7298983538794,770907262312405.4,1.7911507169494707e+18,3394580484646.693,2516351428062716.0,1.819283463919466e+16,4.2799832368698234e+17,1.3416689053524326e+18
2.884496320956988,770969900534040.1,1.8961351781161526e+18,3394856319067.8833,2662588303247698.5,1.925977962957529e+16,4.5338019763688186e+17,1.4200582477895944e+18
3.0421862473761276,771027045372849.8,2.0031333397984376e+18,3395107962723.808,2811533935379878.0,2.0347570906266364e+16,4.7925974525245574e+17,1.4999400675509998e+18
3.2030299723236504,771079386630580.5,2.1121821443209884e+18,3395338453240.445,2963234113817942.0,2.145660578847952e+16,5.0564653356718445e+17,1.581341296126423e+18
3.3670905717701234,771127503534941.8,2.2233191388853473e+18,3395550341317.113,3117735223599442.0,2.2587288755959096e+16,5.325503037395293e+17,1.664289288112382e+18
3.5344323832055258,771171886051369.6,2.336582483287016e+18,3395745784575.6064,3275084245796595.5,2.374003156283467e+16,5.599809742101585e+17,1.748811825636389e+18
3.7051210308696363,771212951448931.5,2.452010957504185e+18,3395926620510.2466,3435328757436358.0,2.491525335229324e+16,5.879486438329514e+17,1.834937122683436e+18
3.879223451487029,771251057309132.4,2.5696439691716234e+18,3396094423773.823,3598516930972295.0,2.6113380772107508e+16,6.164635949932809e+17,1.9226938293235292e+18
4.0568079205167695,771286511837930.6,2.6895215609478625e+18,3396250551587.873,3764697533293225.5,2.7334848091040936e+16,6.455362967242701e+17,2.012111035836869e+18
4.237944078927105,771319582111432.2,2.8116844177799583e+18,3396396180053.592,3933919924251393.5,2.8580097316135676e+16,6.751774078290872e+17,2.10321827673219e+18
4.422702960505647,771350500722723.8,2.936173874066907e+18,3396532333422.0337,4106234054690910.5,2.98495783108798e+16,7.053977800152045e+17,2.196045534653078e+18
4.61115701971576,771379471180249.4,3.063031920720652e+18,3396659907866.503,4281690463955726.0,3.114374891424073e+16,7.362084610449339e+17,2.2906232441664335e+18
