t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1,Total 5 volume 1
0.1,3786533418330099.0,3803207891884101.0,16674473553999.465,0.0,0.0,0.0,0.0
0.202,5668599637646175.0,5693622782529160.0,24961247161385.336,56274853.201208286,404036012.821889,11506076089.05102,49931334652.11131
0.30604000000000003,7110993248979300.0,7142478033843147.0,31312739290558.01,142608227.79807034,1025450419.1417375,30988537341.779064,139888977296.04715
0.41216080000000005,8332634811527869.0,8369649940212651.0,36692155641546.086,253181782.70813292,1821679461.1790779,56778903427.363464,264119278564.3349
0.5204040160000001,9418116353067450.0,9460099326006814.0,41471998167252.055,385395627.89059645,2773902291.7152214,88090871098.18861,419724603096.5772
0.6308120963200001,1.0409883725020954e+16,1.04564569927378e+16,45839175902895.56,537854208.1646297,3872034080.874451,124508746561.33919,605173179101.887
0.7434283382464002,1.1332678552501764e+16,1.1383572451018876e+16,49902637433567.3,709759979.750198,5110314385.024547,165796674634.93112,819644334545.7518
0.8582969050113283,1.2202375747197678e+16,1.2257389976957394e+16,53732287052690.42,900663622.1391414,6485497839.4866495,211819925468.29276,1062736620091.7605
0.9754628431115548,1.3029864555875456e+16,1.3088846567167046e+16,57376074901553.836,1110340828.904149,7995963251.756358,262507339155.7515,1334322746794.4502
1.094972099973786,1.3822991272397484e+16,1.3885823104484084e+16,60868551637963.26,1338724035.0502656,9641220367.56193,317831109715.156,1634469394521.7466
1.2168715419732616,1.458762769594321e+16,1.4654217460667458e+16,64235573345584.164,1585861380.0242896,11421613554.977562,377794891136.52875,1963389012592.7498
1.3412089728127268,1.5328302088764834e+16,1.5398578194028664e+16,67497079924664.89,1851890522.562957,13338132793.37905,442426329340.6104,2321408986511.78
1.4680331522689813,1.6048593131649312e+16,1.6122500213926776e+16,70668829853238.55,2137021158.2189498,15392287510.069445,511772138616.19104,2708950976937.0947
1.597393815314361,1.6751387195283796e+16,1.6828883167207498e+16,73763533066565.5,2441522932.388988,17586019368.51841,585894731713.5896,3126516583129.787
1.729341691620648,1.7439052677669526e+16,1.7520106530643454e+16,76791618641329.58,2765716854.604887,19921640327.03322,664869845330.2764,3574677130090.3267
1.863928525453061,1.8113561860243452e+16,1.8198151994461804e+16,79761771381427.3,3109969072.398329,22401787724.5034,748784829028.677,4054066251089.6616
2.001207095962122,1.877657835636493e+16,1.8864691289153456e+16,82681316891766.95,3474686287.001216,25029391212.131096,837737391292.0657,4565374427994.549
2.1412312378813647,1.9429521308781412e+16,1.9521150660620876e+16,85556504267615.95,3860312343.386273,27807648157.087784,931834669702.8062,5109344941633.692
