"retention","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.1966e+25,1,0,0,0,0
3.1852e+25,1,2e-06,2e-06,0,0
3.173e+25,1,4e-06,4e-06,0,0
3.1598e+25,1,6e-06,6e-06,0,0
3.1456e+25,1,8e-06,8e-06,0,0
3.1302e+25,1,1e-05,1e-05,0,0
3.1133e+25,1,1.2e-05,1.2e-05,0,0
3.0948e+25,1,1.4e-05,1.4e-05,0,0
3.0743e+25,1,1.6e-05,1.6e-05,0,0
3.0516e+25,1,1.8e-05,1.8e-05,0,0
3.026e+25,1,2e-05,2e-05,0,0
2.997e+25,1,2.2e-05,2.2e-05,0,0
2.9639e+25,1,2.4e-05,2.4e-05,0,0
2.9256e+25,1,2.6e-05,2.6e-05,0,0
2.8808e+25,1,2.8e-05,2.8e-05,0,0
2.8273e+25,1,3e-05,3e-05,0,0
2.7625e+25,1,3.2e-05,3.2e-05,0,0
2.682e+25,1,3.4e-05,3.4e-05,0,0
2.579e+25,1,3.6e-05,3.6e-05,0,0
2.4403e+25,1,3.8e-05,3.8e-05,0,0
2.2349e+25,1,4e-05,4e-05,0,0
1.8579e+25,1,4.2e-05,4.2e-05,0,0
9.106e+24,1,4.4e-05,4.4e-05,0,0
9.3859e+23,1,4.6e-05,4.6e-05,0,0
5.019e+22,1,4.8e-05,4.8e-05,0,0
2.4838e+21,1,5e-05,5e-05,0,0
1.1947e+20,1,5.2e-05,5.2e-05,0,0
5.8786e+18,1,5.4e-05,5.4e-05,0,0
2.6401e+17,1,5.6e-05,5.6e-05,0,0
1.2925e+16,1,5.8e-05,5.8e-05,0,0
6.3182e+14,1,6e-05,6e-05,0,0
6.0905e+13,1,6.2e-05,6.2e-05,0,0
1.7947e+13,1,6.4e-05,6.4e-05,0,0
8.0708e+12,1,6.6e-05,6.6e-05,0,0
3.834e+12,1,6.8e-05,6.8e-05,0,0
1.8248e+12,1,7e-05,7e-05,0,0
8.7356e+11,1,7.2e-05,7.2e-05,0,0
4.1618e+11,1,7.4e-05,7.4e-05,0,0
1.9926e+11,1,7.6e-05,7.6e-05,0,0
9.5132e+10,1,7.8e-05,7.8e-05,0,0
