"retention","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.6769e+21,1,0,0,0,0
4.6766e+21,1,2e-06,2e-06,0,0
4.6763e+21,1,4e-06,4e-06,0,0
4.676e+21,1,6e-06,6e-06,0,0
4.6757e+21,1,8e-06,8e-06,0,0
4.6755e+21,1,1e-05,1e-05,0,0
4.6752e+21,1,1.2e-05,1.2e-05,0,0
4.6749e+21,1,1.4e-05,1.4e-05,0,0
4.6746e+21,1,1.6e-05,1.6e-05,0,0
4.6743e+21,1,1.8e-05,1.8e-05,0,0
4.6741e+21,1,2e-05,2e-05,0,0
4.6738e+21,1,2.2e-05,2.2e-05,0,0
4.6735e+21,1,2.4e-05,2.4e-05,0,0
4.6732e+21,1,2.6e-05,2.6e-05,0,0
4.6729e+21,1,2.8e-05,2.8e-05,0,0
4.6727e+21,1,3e-05,3e-05,0,0
4.6724e+21,1,3.2e-05,3.2e-05,0,0
4.6721e+21,1,3.4e-05,3.4e-05,0,0
4.6718e+21,1,3.6e-05,3.6e-05,0,0
4.6715e+21,1,3.8e-05,3.8e-05,0,0
4.6712e+21,1,4e-05,4e-05,0,0
4.671e+21,1,4.2e-05,4.2e-05,0,0
4.6707e+21,1,4.4e-05,4.4e-05,0,0
4.6704e+21,1,4.6e-05,4.6e-05,0,0
4.6701e+21,1,4.8e-05,4.8e-05,0,0
4.6698e+21,1,5e-05,5e-05,0,0
4.6696e+21,1,5.2e-05,5.2e-05,0,0
4.6693e+21,1,5.4e-05,5.4e-05,0,0
4.669e+21,1,5.6e-05,5.6e-05,0,0
4.6687e+21,1,5.8e-05,5.8e-05,0,0
4.6684e+21,1,6e-05,6e-05,0,0
4.6682e+21,1,6.2e-05,6.2e-05,0,0
4.6679e+21,1,6.4e-05,6.4e-05,0,0
4.6676e+21,1,6.6e-05,6.6e-05,0,0
4.6673e+21,1,6.8e-05,6.8e-05,0,0
4.667e+21,1,7e-05,7e-05,0,0
4.6668e+21,1,7.2e-05,7.2e-05,0,0
4.6665e+21,1,7.4e-05,7.4e-05,0,0
4.6662e+21,1,7.6e-05,7.6e-05,0,0
4.6659e+21,1,7.8e-05,7.8e-05,0,0
4.6656e+21,1,8e-05,8e-05,0,0
4.6654e+21,1,8.2e-05,8.2e-05,0,0
4.6651e+21,1,8.4e-05,8.4e-05,0,0
