"retention","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.6859e+23,1,0,0,0,0
7.6815e+23,1,2e-06,2e-06,0,0
7.677e+23,1,4e-06,4e-06,0,0
7.6725e+23,1,6e-06,6e-06,0,0
7.668e+23,1,8e-06,8e-06,0,0
7.6633e+23,1,1e-05,1e-05,0,0
7.6587e+23,1,1.2e-05,1.2e-05,0,0
7.654e+23,1,1.4e-05,1.4e-05,0,0
7.6492e+23,1,1.6e-05,1.6e-05,0,0
7.6444e+23,1,1.8e-05,1.8e-05,0,0
7.6395e+23,1,2e-05,2e-05,0,0
7.6346e+23,1,2.2e-05,2.2e-05,0,0
7.6296e+23,1,2.4e-05,2.4e-05,0,0
7.6245e+23,1,2.6e-05,2.6e-05,0,0
7.6194e+23,1,2.8e-05,2.8e-05,0,0
7.6142e+23,1,3e-05,3e-05,0,0
7.609e+23,1,3.2e-05,3.2e-05,0,0
7.6037e+23,1,3.4e-05,3.4e-05,0,0
7.5984e+23,1,3.6e-05,3.6e-05,0,0
7.5929e+23,1,3.8e-05,3.8e-05,0,0
7.5875e+23,1,4e-05,4e-05,0,0
7.5819e+23,1,4.2e-05,4.2e-05,0,0
7.5763e+23,1,4.4e-05,4.4e-05,0,0
7.5706e+23,1,4.6e-05,4.6e-05,0,0
7.5648e+23,1,4.8e-05,4.8e-05,0,0
7.559e+23,1,5e-05,5e-05,0,0
7.5531e+23,1,5.2e-05,5.2e-05,0,0
7.5471e+23,1,5.4e-05,5.4e-05,0,0
7.5411e+23,1,5.6e-05,5.6e-05,0,0
7.535e+23,1,5.8e-05,5.8e-05,0,0
7.5287e+23,1,6e-05,6e-05,0,0
7.5225e+23,1,6.2e-05,6.2e-05,0,0
7.5161e+23,1,6.4e-05,6.4e-05,0,0
7.5096e+23,1,6.6e-05,6.6e-05,0,0
7.5031e+23,1,6.8e-05,6.8e-05,0,0
7.4965e+23,1,7e-05,7e-05,0,0
7.4898e+23,1,7.2e-05,7.2e-05,0,0
7.483e+23,1,7.4e-05,7.4e-05,0,0
7.4761e+23,1,7.6e-05,7.6e-05,0,0
7.4691e+23,1,7.8e-05,7.8e-05,0,0
7.462e+23,1,8e-05,8e-05,0,0
7.4548e+23,1,8.2e-05,8.2e-05,0,0
7.4476e+23,1,8.4e-05,8.4e-05,0,0
7.4402e+23,1,8.6e-05,8.6e-05,0,0
7.4327e+23,1,8.8e-05,8.8e-05,0,0
