"retention","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.8214e+21,1,0,0,0,0
7.8211e+21,1,2e-06,2e-06,0,0
7.8208e+21,1,4e-06,4e-06,0,0
7.8205e+21,1,6e-06,6e-06,0,0
7.8202e+21,1,8e-06,8e-06,0,0
7.82e+21,1,1e-05,1e-05,0,0
7.8197e+21,1,1.2e-05,1.2e-05,0,0
7.8194e+21,1,1.4e-05,1.4e-05,0,0
7.8191e+21,1,1.6e-05,1.6e-05,0,0
7.8189e+21,1,1.8e-05,1.8e-05,0,0
7.8186e+21,1,2e-05,2e-05,0,0
7.8183e+21,1,2.2e-05,2.2e-05,0,0
7.818e+21,1,2.4e-05,2.4e-05,0,0
7.8178e+21,1,2.6e-05,2.6e-05,0,0
7.8175e+21,1,2.8e-05,2.8e-05,0,0
7.8172e+21,1,3e-05,3e-05,0,0
7.817e+21,1,3.2e-05,3.2e-05,0,0
7.8167e+21,1,3.4e-05,3.4e-05,0,0
7.8164e+21,1,3.6e-05,3.6e-05,0,0
7.8161e+21,1,3.8e-05,3.8e-05,0,0
7.8159e+21,1,4e-05,4e-05,0,0
7.8156e+21,1,4.2e-05,4.2e-05,0,0
7.8153e+21,1,4.4e-05,4.4e-05,0,0
7.815e+21,1,4.6e-05,4.6e-05,0,0
7.8148e+21,1,4.8e-05,4.8e-05,0,0
7.8145e+21,1,5e-05,5e-05,0,0
7.8142e+21,1,5.2e-05,5.2e-05,0,0
7.814e+21,1,5.4e-05,5.4e-05,0,0
7.8137e+21,1,5.6e-05,5.6e-05,0,0
7.8134e+21,1,5.8e-05,5.8e-05,0,0
7.8131e+21,1,6e-05,6e-05,0,0
7.8129e+21,1,6.2e-05,6.2e-05,0,0
7.8126e+21,1,6.4e-05,6.4e-05,0,0
7.8123e+21,1,6.6e-05,6.6e-05,0,0
7.812e+21,1,6.8e-05,6.8e-05,0,0
7.8118e+21,1,7e-05,7e-05,0,0
7.8115e+21,1,7.2e-05,7.2e-05,0,0
7.8112e+21,1,7.4e-05,7.4e-05,0,0
7.811e+21,1,7.6e-05,7.6e-05,0,0
7.8107e+21,1,7.8e-05,7.8e-05,0,0
7.8104e+21,1,8e-05,8e-05,0,0
7.8102e+21,1,8.2e-05,8.2e-05,0,0
7.8099e+21,1,8.4e-05,8.4e-05,0,0
7.8096e+21,1,8.6e-05,8.6e-05,0,0
7.8093e+21,1,8.8e-05,8.8e-05,0,0
7.8091e+21,1,9e-05,9e-05,0,0
7.8088e+21,1,9.2e-05,9.2e-05,0,0
7.8085e+21,1,9.4e-05,9.4e-05,0,0
7.8083e+21,1,9.6e-05,9.6e-05,0,0
7.808e+21,1,9.8e-05,9.8e-05,0,0
7.8077e+21,1,0.0001,0.0001,0,0
7.8075e+21,1,0.000102,0.000102,0,0
7.8072e+21,1,0.000104,0.000104,0,0
7.8069e+21,1,0.000106,0.000106,0,0
7.8067e+21,1,0.000108,0.000108,0,0
7.8064e+21,1,0.00011,0.00011,0,0
7.8061e+21,1,0.000112,0.000112,0,0
7.8058e+21,1,0.000114,0.000114,0,0
7.8056e+21,1,0.000116,0.000116,0,0
7.8053e+21,1,0.000118,0.000118,0,0
7.805e+21,1,0.00012,0.00012,0,0
7.8048e+21,1,0.000122,0.000122,0,0
7.8045e+21,1,0.000124,0.000124,0,0
7.8042e+21,1,0.000126,0.000126,0,0
7.804e+21,1,0.000128,0.000128,0,0
7.8037e+21,1,0.00013,0.00013,0,0
7.8034e+21,1,0.000132,0.000132,0,0
7.8032e+21,1,0.000134,0.000134,0,0
7.8029e+21,1,0.000136,0.000136,0,0
7.8026e+21,1,0.000138,0.000138,0,0
7.8024e+21,1,0.00014,0.00014,0,0
7.8021e+21,1,0.000142,0.000142,0,0
7.8018e+21,1,0.000144,0.000144,0,0
7.8016e+21,1,0.000146,0.000146,0,0
7.8013e+21,1,0.000148,0.000148,0,0
7.801e+21,1,0.00015,0.00015,0,0
7.8008e+21,1,0.000152,0.000152,0,0
7.8005e+21,1,0.000154,0.000154,0,0
7.8003e+21,1,0.000156,0.000156,0,0
7.8e+21,1,0.000158,0.000158,0,0
7.7997e+21,1,0.00016,0.00016,0,0
7.7995e+21,1,0.000162,0.000162,0,0
7.7992e+21,1,0.000164,0.000164,0,0
